internal_player_id,official_fantasy_player_id,name,country,official_fantasy_position,official_price,qualifier_matches_available,qualifier_minutes,qualifier_starts,qualifier_goals,qualifier_assists,qualifier_clean_sheets,qualifier_cards,recent_nt_minutes,recent_nt_starts,recent_nt_role,last_nt_start_date,set_piece_role,penalty_role,corner_role,free_kick_role,usage_source,usage_source_url,usage_source_checked,usage_confidence,data_quality_flags,notes
mexico-alejandro-gomez,1463,Alejandro Gómez,Mexico,DEF,3.5,,,,,,,,,,unclear,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
mexico-ramon-juarez,1464,Ramón Juárez,Mexico,DEF,3.6,,,,,,,,,,squad_depth,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
mexico-mateo-chavez,1465,Mateo Chávez,Mexico,DEF,3.5,,,,,,,,,,squad_depth,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
mexico-bryan-gonzalez,1467,Bryan González,Mexico,DEF,3.5,,,,,,,,,,squad_depth,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
mexico-victor-guzman,1468,Víctor Guzmán,Mexico,DEF,3.6,,,,,,,,,,squad_depth,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
mexico-marcel-ruiz,1470,Marcel Ruiz,Mexico,MID,5.9,,,,,,,,,,squad_depth,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
mexico-jordan-carrillo,1471,Jordán Carrillo,Mexico,MID,5.1,,,,,,,,,,squad_depth,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
mexico-diego-lainez,1472,Diego Lainez,Mexico,MID,5.9,,,,,,,,,,squad_depth,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
mexico-cesar-huerta,1473,César Huerta,Mexico,MID,6.3,,,,,,,,,,likely_starter,,,,,,targetedNationalTeamUsageImport,https://worldcupstats.football/teams/mexico/squad/|https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31,low,position_conflict|low_role_confidence|targeted_usage_import|targeted_usage_role_evidence|targeted_source_existing_repo_data,Targeted national-team usage import added source-backed role evidence only; starts and minutes remain blank. Existing national profile carries senior_caps=25 and country_role_signal=regular_national_team_player; no starts or minutes are added. Official fantasy position differs from existing model position and is preserved as active future fantasy position.
mexico-edson-alvarez,1474,Edson Álvarez,Mexico,MID,6,,,,,,,,,,likely_starter,,,,,,targetedNationalTeamUsageImport,https://worldcupstats.football/teams/mexico/squad/|https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31,low,low_role_confidence|targeted_usage_import|targeted_usage_role_evidence|targeted_source_existing_repo_data,Targeted national-team usage import added source-backed role evidence only; starts and minutes remain blank. Existing national profile carries senior_caps=95 and country_role_signal=established_national_team_player; no starts or minutes are added.
mexico-jesus-ricardo-angulo,1475,Jesús Angulo,Mexico,MID,5.3,,,,,,,,,,unclear,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
mexico-gilberto-mora,1476,Gilberto Mora,Mexico,MID,4.5,,,,,,,,,,squad_depth,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
mexico-luis-chavez,1477,Luis Chávez,Mexico,MID,6.3,,,,,,,,,,likely_starter,,,,,,targetedNationalTeamUsageImport,https://worldcupstats.football/teams/mexico/squad/|https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-31,low,low_role_confidence|targeted_usage_import|targeted_usage_role_evidence|targeted_source_existing_repo_data,Targeted national-team usage import added source-backed role evidence only; starts and minutes remain blank. Existing national profile carries senior_caps=42 and country_role_signal=regular_national_team_player; no starts or minutes are added.
mexico-luis-romo,1478,Luis Romo,Mexico,MID,5.5,,,,,,,,,,squad_depth,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
mexico-elias-montiel,1479,Elías Montiel,Mexico,MID,4.5,,,,,,,,,,squad_depth,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
mexico-kevin-castaneda,1480,Kevin Castañeda,Mexico,MID,4.9,,,,,,,,,,squad_depth,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
mexico-alexis-gutierrez,1481,Alexis Gutiérrez,Mexico,MID,4.9,,,,,,,,,,squad_depth,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
mexico-jeremy-marquez,1482,Jeremy Márquez,Mexico,MID,4.7,,,,,,,,,,unclear,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
mexico-alexei-dominguez,1483,Alexéi Domínguez,Mexico,FWD,4.5,,,,,,,,,,squad_depth,,,,,,,,2026-05-31,missing,position_conflict|missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources. Official fantasy position differs from existing model position and is preserved as active future fantasy position.
mexico-efrain-alvarez,1484,Efraín Álvarez,Mexico,MID,5.5,,,,,,,,,,squad_depth,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
